name,price,original_price,discount,review_count,seller,availability,badges,link,category
L'Oréal Paris Elseve – Glycolic Gloss Démêlant Pour Cheveux Ternes,56.00 Dhs,,,5,Jumia,Available,['Boutique Officielle'],https://www.jumia.ma/loreal-paris-elseve-glycolic-gloss-demelant-pour-cheveux-ternes-66890329.html,beaute-sante
REVOLUTION BEAUTY LONDON Matte Bomb Nude Allure,29.00 Dhs,85.00 Dhs,66%,1.7,Jumia,Available,"['Boutique Officielle', '66%']",https://www.jumia.ma/revolution-beauty-london-matte-bomb-nude-allure-65775489.html,beaute-sante
Kemei KM 5021 Tondeuse pratique et Rasoir Enfant Bébé Hommes Femmes,118.00 Dhs,120.00 Dhs,2%,4.5,Jumia,Available,['2%'],https://www.jumia.ma/kemei-km-5021-tondeuse-pratique-et-rasoir-enfant-bebe-hommes-femmes-59966667.html,beaute-sante
Labello Stick Lèvres Caring Beauty Rouge,42.00 Dhs,,,4.3,Jumia,Available,['Boutique Officielle'],https://www.jumia.ma/labello-stick-levres-caring-beauty-rouge-66573986.html,beaute-sante
Maybelline New York Rouge à Lèvres Liquide - Effet Mat - Longue Tenue - SuperStay Matte Ink - Teinte : 325 SHOTCALLER,65.00 Dhs,120.00 Dhs,46%,4.3,Jumia,Available,"['Boutique Officielle', '46%']",https://www.jumia.ma/maybelline-new-york-rouge-a-levres-liquide-effet-mat-longue-tenue-superstay-matte-ink-teinte-325-shotcaller-35974738.html,beaute-sante
"SHILAJIT 2 shiljait Gélule à libération prolongée 300mg, Shilajit de l'Himalaya avec extrait, 100 % d'acide fulvique, récupération musculaire plus rapide 2x60 gélules, l'énergie et l'immunité.",199.00 Dhs,299.00 Dhs,33%,0,Jumia,Available,['33%'],https://www.jumia.ma/shilajit-2-shiljait-gelule-a-liberation-prolongee-300mg-shilajit-de-lhimalaya-avec-extrait-100-dacide-fulvique-recuperation-musculaire-plus-rapide-2x60-gelules-lenergie-et-limmunite.-66899597.html,beaute-sante
"NIVEA SUN Spray Protecteur Coloré Spf 50+, 200ml.",183.00 Dhs,212.00 Dhs,14%,4.5,Jumia,Available,"['Boutique Officielle', '14%']",https://www.jumia.ma/nivea-sun-spray-protecteur-colore-spf-50-200ml.-66281878.html,beaute-sante
"Forever Living Products Stick Deodorant Aloes- 91,1 g",112.00 Dhs,,,4.4,Jumia,Available,['Boutique Officielle'],https://www.jumia.ma/forever-living-products-stick-deodorant-aloes-911-g-41585861.html,beaute-sante
Mua Makeup Academy INTENSE COLOUR LIP LINER - Obsession,26.00 Dhs,29.00 Dhs,10%,4.8,Jumia,Available,"['Boutique Officielle', '10%']",https://www.jumia.ma/mua-makeup-academy-intense-colour-lip-liner-obsession-66591245.html,beaute-sante
"NutriPulse Formule Spiruline 500mg – Énergie, Vitalité & Éclat de Peau – Riche en Vitamines, 120 Comprimés",109.41 Dhs,189.99 Dhs,42%,4.4,Jumia,Available,['42%'],https://www.jumia.ma/nutripulse-formule-spiruline-500mg-energie-vitalite-eclat-de-peau-riche-en-vitamines-120-comprimes-65972535.html,beaute-sante
