,price,original_price,discount,review_count,category,official_store
316,364.0,436.0,17.0,4.3,0,0
317,40.0,364.80142676767673,42.066287878787875,4.3,0,1
318,169.99,364.80142676767673,42.066287878787875,3.6,0,0
319,32.0,99.0,68.0,3.6,0,0
320,149.0,364.80142676767673,42.066287878787875,4.5,0,0
321,99.0,100.0,1.0,5.0,0,1
322,34.95,49.0,29.0,4.3,0,0
323,32.3,38.0,15.0,3.9,0,1
324,75.0,149.0,50.0,3.7,0,0
325,139.0,450.0,69.0,5.0,0,0
326,105.0,187.74,44.0,4.3,0,0
327,79.0,299.0,74.0,3.7,0,0
328,35.0,39.0,10.0,3.0,0,1
329,23.2,29.0,20.0,5.0,0,1
330,103.0,127.0,19.0,4.4,0,1
331,99.0,364.80142676767673,42.066287878787875,0.0,0,0
332,43.0,364.80142676767673,42.066287878787875,5.0,0,0
333,176.0,178.51,1.0,5.0,0,1
334,69.99,364.80142676767673,42.066287878787875,0.0,0,0
335,110.0,269.99,59.0,5.0,0,1
336,295.0,499.0,41.0,5.0,0,0
337,24.0,364.80142676767673,42.066287878787875,3.5,0,0
338,152.0,244.36,38.0,3.7,0,0
339,44.0,49.0,10.0,0.0,0,1
340,144.0,145.5,1.0,5.0,0,1
341,149.0,150.0,1.0,4.3,0,0
342,62.0,90.5,31.0,4.1,0,1
344,199.0,220.0,10.0,4.3,0,0
345,33.0,364.80142676767673,42.066287878787875,4.1,0,0
346,29.0,38.0,24.0,4.3,0,1
347,207.0,299.0,31.0,4.0,0,1
348,45.0,167.0,73.0,4.2,0,1
349,115.0,145.0,21.0,5.0,0,1
350,119.99,149.99,20.0,3.8,0,0
351,55.0,81.0,32.0,4.5,0,1
364,80.0,160.0,50.0,4.1,0,1
365,248.0,432.1,43.0,4.2,0,0
366,299.0,364.80142676767673,42.066287878787875,4.2,0,0
367,49.99,364.80142676767673,42.066287878787875,3.9,0,0
368,121.0,140.0,14.0,0.0,0,1
369,63.0,72.0,13.0,4.4,0,1
370,109.0,162.41,33.0,4.2,0,0
371,292.0,451.47,35.0,3.7,0,0
372,378.0,499.0,24.0,4.7,0,0
373,225.0,349.0,36.0,4.0,0,0
374,119.0,150.0,21.0,3.6,0,0
375,189.0,350.0,46.0,4.0,0,0
377,175.0,249.0,30.0,0.0,0,1
378,34.99,99.99,65.0,0.0,0,0
379,199.0,364.80142676767673,42.066287878787875,5.0,0,1
380,109.0,186.25,41.0,4.2,0,0
381,77.0,81.0,5.0,3.7,0,1
382,59.0,364.80142676767673,42.066287878787875,4.5,0,0
